subject_id,eye,spectrum,filename,instance,split,level1_pass,visible_fraction,unmasked_polar,mean_gradient,level2_pass,keep
001,L,NIR,/var/home/general-user/PolyU/001/L/NIR/001_L_NIR_1.tiff,1,train,True,0.8671,0.8969,24.8065,True,True
001,L,NIR,/var/home/general-user/PolyU/001/L/NIR/001_L_NIR_2.tiff,2,train,True,0.8968,0.9214,26.2548,True,True
001,L,NIR,/var/home/general-user/PolyU/001/L/NIR/001_L_NIR_3.tiff,3,train,True,0.8991,0.9226,24.723,True,True
001,L,NIR,/var/home/general-user/PolyU/001/L/NIR/001_L_NIR_4.tiff,4,train,True,0.853,0.8835,25.7963,True,True
001,L,NIR,/var/home/general-user/PolyU/001/L/NIR/001_L_NIR_5.tiff,5,train,True,0.8837,0.9103,24.8888,True,True
001,L,NIR,/var/home/general-user/PolyU/001/L/NIR/001_L_NIR_6.tiff,6,train,True,0.8752,0.9026,24.5747,True,True
001,L,NIR,/var/home/general-user/PolyU/001/L/NIR/001_L_NIR_7.tiff,7,train,True,0.929,0.9403,28.7287,True,True
001,L,NIR,/var/home/general-user/PolyU/001/L/NIR/001_L_NIR_8.tiff,8,train,True,0.9586,0.9607,25.5605,True,True
001,L,NIR,/var/home/general-user/PolyU/001/L/NIR/001_L_NIR_9.tiff,9,train,True,0.9386,0.9488,25.8825,True,True
001,L,NIR,/var/home/general-user/PolyU/001/L/NIR/001_L_NIR_10.tiff,10,train,True,0.9431,0.9513,24.5085,True,True
001,L,NIR,/var/home/general-user/PolyU/001/L/NIR/001_L_NIR_11.tiff,11,test,True,0.9399,0.951,24.7757,True,True
001,L,NIR,/var/home/general-user/PolyU/001/L/NIR/001_L_NIR_12.tiff,12,test,True,0.9416,0.9537,23.8663,True,True
001,L,NIR,/var/home/general-user/PolyU/001/L/NIR/001_L_NIR_13.tiff,13,test,True,0.9295,0.9445,24.3177,True,True
001,L,NIR,/var/home/general-user/PolyU/001/L/NIR/001_L_NIR_14.tiff,14,test,True,0.9227,0.9404,24.6544,True,True
001,L,NIR,/var/home/general-user/PolyU/001/L/NIR/001_L_NIR_15.tiff,15,test,True,0.9239,0.9403,24.4236,True,True
001,L,VIS,/var/home/general-user/PolyU/001/L/VIS/001_L_VIS_1.tiff,1,train,True,0.7923,0.8185,19.4336,True,True
001,L,VIS,/var/home/general-user/PolyU/001/L/VIS/001_L_VIS_2.tiff,2,train,True,0.777,0.8052,17.8372,True,True
001,L,VIS,/var/home/general-user/PolyU/001/L/VIS/001_L_VIS_3.tiff,3,train,True,0.789,0.8138,17.8459,True,True
001,L,VIS,/var/home/general-user/PolyU/001/L/VIS/001_L_VIS_4.tiff,4,train,True,0.7711,0.794,19.5949,True,True
001,L,VIS,/var/home/general-user/PolyU/001/L/VIS/001_L_VIS_5.tiff,5,train,True,0.8261,0.8501,18.7755,True,True
001,L,VIS,/var/home/general-user/PolyU/001/L/VIS/001_L_VIS_6.tiff,6,train,True,0.817,0.8438,18.8161,True,True
001,L,VIS,/var/home/general-user/PolyU/001/L/VIS/001_L_VIS_7.tiff,7,train,True,0.8295,0.853,17.6709,True,True
001,L,VIS,/var/home/general-user/PolyU/001/L/VIS/001_L_VIS_8.tiff,8,train,True,0.8635,0.875,17.705,True,True
001,L,VIS,/var/home/general-user/PolyU/001/L/VIS/001_L_VIS_9.tiff,9,train,True,0.8523,0.8659,17.623,True,True
001,L,VIS,/var/home/general-user/PolyU/001/L/VIS/001_L_VIS_10.tiff,10,train,True,0.8316,0.8491,17.7783,True,True
001,L,VIS,/var/home/general-user/PolyU/001/L/VIS/001_L_VIS_11.tiff,11,test,True,0.8309,0.8502,17.9322,True,True
001,L,VIS,/var/home/general-user/PolyU/001/L/VIS/001_L_VIS_12.tiff,12,test,True,0.8489,0.8614,17.9073,True,True
001,L,VIS,/var/home/general-user/PolyU/001/L/VIS/001_L_VIS_13.tiff,13,test,True,0.8333,0.8497,17.753,True,True
001,L,VIS,/var/home/general-user/PolyU/001/L/VIS/001_L_VIS_14.tiff,14,test,True,0.8363,0.8521,17.4696,True,True
001,L,VIS,/var/home/general-user/PolyU/001/L/VIS/001_L_VIS_15.tiff,15,test,True,0.8063,0.8276,17.7797,True,True
001,R,NIR,/var/home/general-user/PolyU/001/R/NIR/001_R_NIR_1.tiff,1,train,True,0.9775,0.9791,15.9821,True,True
001,R,NIR,/var/home/general-user/PolyU/001/R/NIR/001_R_NIR_2.tiff,2,train,True,0.9524,0.9571,15.5679,True,True
001,R,NIR,/var/home/general-user/PolyU/001/R/NIR/001_R_NIR_3.tiff,3,train,True,0.9555,0.9597,15.9151,True,True
